ticker,ex_dividend_date,payment_date,amount
RY,2024-01-25,2024-02-24,$1.35**
RY,2023-10-25,2023-11-24,$1.35**
RY,2023-07-25,2023-08-24,$1.35
RY,2023-04-24,2023-05-24,$1.32
RY,2023-01-25,2023-02-24,$1.32
RY,2022-10-25,2022-11-24,$1.28
RY,2022-07-25,2022-08-24,$1.28
RY,2022-04-22,2022-05-24,$1.20
RY,2022-01-25,2022-02-24,$1.20
RY,2021-10-25,2021-11-24,$1.08
RY,2021-07-23,2021-08-24,$1.08
RY,2021-04-21,2021-05-21,$1.08
RY,2021-01-25,2021-02-24,$1.08
RY,2020-10-23,2020-11-24,$1.08
RY,2020-07-24,2020-08-24,$1.08
RY,2020-04-22,2020-05-22,$1.08
RY,2020-01-24,2020-02-24,$1.05
RY,2019-10-23,2019-11-22,$1.05
RY,2019-07-24,2019-08-23,$1.02
RY,2019-04-24,2019-05-24,$1.02
RY,2019-01-23,2019-02-22,$0.98
RY,2018-10-24,2018-11-23,$0.98
RY,2018-07-25,2018-08-24,$0.94
RY,2018-04-24,2018-05-24,$0.94
RY,2018-01-24,2018-02-23,$0.91
RY,2017-10-25,2017-11-24,$0.91
RY,2017-07-24,2017-08-24,$0.87
RY,2017-04-21,2017-05-24,$0.87
RY,2017-01-24,2017-02-24,$0.83
RY,2016-10-24,2016-11-24,$0.83
RY,2016-07-22,2016-08-24,$0.81
RY,2016-04-21,2016-05-24,$0.81
RY,2016-01-22,2016-02-24,$0.79
RY,2015-10-22,2015-11-24,$0.79
RY,2015-07-23,2015-08-24,$0.77
RY,2015-04-21,2015-05-22,$0.77
RY,2015-01-22,2015-02-24,$0.75
RY,2014-10-23,2014-11-24,$0.75
RY,2014-07-22,2014-08-22,$0.71
RY,2014-04-22,2014-05-23,$0.71
RY,2014-01-23,2014-02-24,$0.67
RY,2013-10-22,2013-11-22,$0.67
RY,2013-07-23,2013-08-23,$0.63
RY,2013-04-23,2013-05-24,$0.63
