ticker,price
RY,125.01
TD,79.94
SHOP,83.95
ENB,48.69
CP,104.03
BMO,117.91
TRI,170.35
BNS,64.75
CNQ,72.07
ATD,65.07
CSU,"2,672.40"
BCE,59.52
TRP,53.64
CM,56.79
SU,39.11
MFC,24.68
QSR,99.98
CVE,22.18
SLF,66.61
NTR,80.03
IMO,65.80
GOLD,1.16
L,115.41
GWO,37.94
FNV,181.96
IFC,197.02
NA,98.38
AEM,64.89
FTS,56.41
WPM,56.49
DOL,86.77
FFH,986.07
POW,34.87
FM,33.26
H,36.94
WSP,171.21
WN,151.47
MGA,0.20
TOU,61.13
GFL,48.88
BAM,42.87
MRU,71.52
IVN,12.39
EMA,54.58
OTEX,53.54
RBA,75.87
SAP,30.37
TFII,138.92
ARX,17.60
CTC,288.08
IGM,40.14
CU,34.98
IAG,91.55
STN,83.61
CAE,29.10
WFG,110.15
BLCO,25.75
TIH,105.46
AC,23.54
FSV,189.52
LUN,10.76
X,28.87
EFN,20.64
AQN,11.09
GIL,40.04
PAAS,18.95
KEY,30.19
NPI,27.64
ALA,23.79
ATS,63.05
BBD-B,16.79
AGI,15.49
FTT,39.76
PKI,32.89
MEG,20.84
SNC,33.31
ONEX,70.94
PSK,23.58
TIXT,19.60
WCP,9.37
CIGI,123.08
BYD,247.26
CPX,44.42
KXS,176.88
NVEI,35.54
CPG,8.88
PBH,101.11
LAC,26.92
LNR,70.07
POU,29.92
CS,6.05
ERF,19.03
ATZ,36.19
SJ,66.32
BB,6.41
SSRM,18.46
BLX,36.76
OR,19.83
LUG,15.44
TOY,34.90
BHC,9.72
TFPM,17.42
FIL,25.50
ELF,900.00
LSPD,20.42
MFI,25.69
TCN,11.31
NXE,6.27
CCA,66.50
GEI,20.80
TPZ,20.51
PXT,27.25
WPK,42.10
INE,13.14
VET,16.53
EQB,69.67
CFP,21.44
ERO,27.28
BLU,19.38
EIF,53.19
SPB,9.50
CWB,24.49
CLS,19.39
STLC,43.29
BTE,4.25
NVA,10.77
GOOS,21.51
RUS,36.86
FN,38.20
RCH,41.31
SVI,5.85
NG,6.30
AIF,45.24
CGG,5.08
UNS,47.05
LIF,32.06
FRU,13.46
BIR,7.73
WTE,31.00
PEY,11.01
EQX,5.89
IE,19.75
AND,43.57
GSY,110.97
ENGH,32.83
SES,6.20
BLDP,5.88
TSU,38.05
HBM,6.58
TVE,3.20
DCBO,48.98
IAG,91.55
CJT,95.21
DPM,8.81
NWC,31.89
MAG,14.79
HWX,6.38
IPCO,11.08
LB,32.71
MTY,58.35
MTL,15.41
KNT,6.05
CYB,59.75
TLRY,2.12
DNTL,7.00
AAV,8.13
AOI,2.84
JWEL,30.83
OSK,3.26
CVG,80.60
IFP,23.45
MRC,102.99
SII,42.73
CJ,6.62
ASTL,10.22
WDO,6.70
SFTC,17.12
NGD,1.37
BDGI,25.22
CRON,2.42
ABST,14.95
HUT,3.66
ECN,2.93
NOA,26.29
CTS,3.23
SVM,3.68
OBE,7.60
LEV,2.55
SKE,6.43
TSAT,12.00
PZA,14.92
FCU,0.61
MUX,9.37
BITF,1.86
REAX,2.46
AMC,3.24
LGO,5.66
WRN,2.10
MOZ,0.74
LCFS,7.99
VLN,12.80
VBNK,10.37
ACB,0.75
GTE,6.91
ALYA,2.23
WPRT,10.74
PYR,0.99
SYZ,7.51
OGI,0.53
VOXR,3.19
ILLM,2.21
TMQ,0.77
ASM,0.90
BRAG,4.15
LAM,0.41
FSY,0.47
MGA,0.20
MOGO,0.91
EAGR,0.70
HEXO,0.91
AKU,0.36
IMV,1.12
