ticker,price,exchange,currency
MSFT,333.56,NASDAQ,USA
AMZN,124.83,NASDAQ,USA
TSLA,259.46,NASDAQ,USA
META,281.64,NASDAQ,USA
LLY,453.00,NYSE,USA
XOM,103.87,NYSE,USA
AVGO,847.66,NASDAQ,USA
ORCL,122.10,NYSE,USA
MRK,111.16,NYSE,USA
PEP,185.43,NASDAQ,USA
COST,519.62,NASDAQ,USA
ADBE,477.48,NASDAQ,USA
CRM,209.59,NYSE,USA
DHR,237.71,NYSE,USA
DIS,88.64,NYSE,USA
TMUS,132.68,NASDAQ,USA
WFC,19.10,TSE,CAD
VZ,35.83,NYSE,USA
INTC,32.90,NASDAQ,USA
BMY,65.50,NYSE,USA
HON,201.80,NASDAQ,USA
INTU,450.53,NASDAQ,USA
SPGI,389.11,NYSE,USA
IBM,133.69,NYSE,USA
AMGN,227.04,NASDAQ,USA
AMAT,136.67,NASDAQ,USA
SYK,297.57,NYSE,USA
T,25.48,TSE,CAD
ELV,445.03,NYSE,USA
MDLZ,73.14,NASDAQ,USA
BKNG,"2,643.80",NASDAQ,USA
ADI,185.44,NASDAQ,USA
REGN,778.77,NASDAQ,USA
LRCX,605.80,NASDAQ,USA
ABNB,127.46,NASDAQ,USA
HCA,20.49,TSE,CAD
MO,43.95,NYSE,USA
PGR,130.60,NYSE,USA
PANW,238.92,NASDAQ,USA
MU,65.80,NASDAQ,USA
EL,194.75,NYSE,USA
SLB,47.76,NYSE,USA
WM,0.14,TSE,CAD
SNPS,426.34,NASDAQ,USA
EOG,110.87,NYSE,USA
ATVI,80.94,NASDAQ,USA
CDNS,228.01,NASDAQ,USA
ICE,3.62,TSE,CAD
F,14.02,NYSE,USA
CMG,"2,074.48",NYSE,USA
EW,91.09,NYSE,USA
USB,33.43,NYSE,USA
PNC,126.66,NYSE,USA
PSA,50.15,TSE,CAD
CHTR,328.78,NASDAQ,USA
APH,81.37,NYSE,USA
ANET,151.51,NYSE,USA
MRNA,121.07,NASDAQ,USA
SRE,148.50,NYSE,USA
MCHP,82.96,NASDAQ,USA
KHC,36.07,NASDAQ,USA
KDP,31.74,NASDAQ,USA
D,53.29,NYSE,USA
PSX,93.28,NYSE,USA
CPRT,89.01,NASDAQ,USA
COF,108.28,NYSE,USA
SPG,0.38,TSE,CAD
TRV,175.29,NYSE,USA
PAYX,112.86,NASDAQ,USA
ADM,73.46,NYSE,USA
ET,12.78,NYSE,USA
CARR,48.22,NYSE,USA
NUE,151.90,NYSE,USA
ABC,185.83,NYSE,USA
DOW,51.88,NYSE,USA
ROST,107.24,NASDAQ,USA
DG,167.05,NYSE,USA
CRWD,143.85,NASDAQ,USA
BK,13.19,TSE,CAD
CSGP,87.58,NASDAQ,USA
GFS,59.44,NASDAQ,USA
CMI,233.25,NYSE,USA
