ticker,ex_dividend_date,payment_date,amount
TSL,2023-06-29,2023-07-14,$0.02
TSL,2023-03-30,2023-04-14,$0.02
TSL,2022-12-29,2023-01-16,$0.02
TSL,2022-09-29,2022-10-14,$0.03
TSL,2022-06-29,2022-07-15,$0.03
TSL,2022-06-29,2022-07-15,$0.02
TSL,2022-03-30,2022-04-14,$1.20
TSL,2022-03-30,2022-04-14,$0.03
TSL,2021-12-30,2022-01-14,$0.05
TSL,2021-12-30,2022-01-14,$0.03
TSL,2021-09-28,2021-10-15,$0.03
TSL,2021-09-28,2021-10-15,$0.05
TSL,2021-06-29,2021-07-15,$0.03
TSL,2021-03-30,2021-04-15,$0.03
TSL,2020-12-30,2021-01-15,$0.02
TSL,2020-09-29,2020-10-15,$0.02
TSL,2020-06-29,2020-07-15,$0.02
TSL,2020-03-30,2020-04-15,$0.02
TSL,2019-12-30,2020-01-15,$0.02
TSL,2019-09-27,2019-10-15,$0.02
TSL,2019-06-27,2019-07-15,$0.02
TSL,2019-03-28,2019-04-15,$0.02
TSL,2018-12-28,2019-01-15,$0.02
TSL,2018-09-27,2018-10-15,$0.02
TSL,2018-06-28,2018-07-16,$0.02
TSL,2018-03-28,2018-04-16,$0.02
TSL,2017-12-28,2018-01-15,$0.02
TSL,2017-09-28,2017-10-16,$0.02
TSL,2017-06-28,2017-07-14,$0.02
TSL,2017-03-29,2017-04-17,$0.02
TSL,2016-12-28,2017-01-16,$0.02
TSL,2016-09-28,2016-10-14,$0.02
TSL,2016-06-28,2016-07-15,$0.02
TSL,2016-03-29,2016-04-15,$0.01
TSL,2015-12-29,2016-01-15,$0.01
TSL,2015-09-28,2015-10-15,$0.01
TSL,2008-12-29,2009-01-15,$0.0416667
TSL,2008-11-26,2008-12-15,$0.0416667
TSL,2008-10-29,2008-11-17,$0.0833333
TSL,2008-09-26,2008-10-15,$0.0833333
TSL,2008-08-27,2008-09-15,$0.0833333
TSL,2008-07-29,2008-08-15,$0.0833333
TSL,2008-06-26,2008-07-15,$0.0833333
TSL,2008-05-28,2008-06-16,$0.0833333
H,2023-12-13,2023-12-30,$0.2964**
H,2023-09-13,2023-09-29,$0.2964**
H,2023-06-06,2023-06-30,$0.2964
H,2023-03-14,2023-03-31,$0.2796
H,2022-12-13,2022-12-30,$0.2796
H,2022-09-13,2022-09-29,$0.2796
H,2022-06-07,2022-06-30,$0.2796
H,2022-03-15,2022-03-31,$0.2663
H,2021-12-07,2021-12-31,$0.2663
H,2021-09-07,2021-09-30,$0.2663
H,2021-06-08,2021-06-30,$0.2663
H,2021-03-16,2021-03-31,$0.2536
H,2020-12-08,2020-12-31,$0.2536
H,2020-09-08,2020-09-30,$0.2536
H,2020-06-09,2020-06-30,$0.2536
H,2020-03-10,2020-03-31,$0.2415
H,2019-12-10,2019-12-31,$0.2415
H,2019-09-11,2019-09-30,$0.2415
H,2019-06-11,2019-06-28,$0.2415
H,2019-03-12,2019-03-29,$0.23
H,2018-12-10,2018-12-31,$0.23
H,2018-09-10,2018-09-28,$0.23
H,2018-06-11,2018-06-29,$0.23
H,2018-03-12,2018-03-29,$0.22
H,2017-12-11,2017-12-29,$0.22
H,2017-09-11,2017-09-29,$0.22
H,2017-06-09,2017-06-30,$0.22
H,2017-03-10,2017-03-31,$0.21
H,2016-12-12,2016-12-30,$0.21
H,2016-09-12,2016-09-30,$0.21
H,2016-06-10,2016-06-30,$0.21
H,2016-03-15,2016-03-31,$0.34
K,2023-11-30,2023-12-15,$0.03**
K,2023-08-17,2023-09-01,$0.03**
K,2023-05-31,2023-06-15,$0.03
K,2023-03-07,2023-03-23,$0.03
K,2022-11-30,2022-12-15,$0.03
K,2022-08-17,2022-09-01,$0.03
