"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Royal Bank Of Canada","RY","131134930944","94.36","Canada"
"2","Toronto Dominion Bank","TD","111606038528","60.61","Canada"
"3","Shopify","SHOP","82185969664","64.26","Canada"
"4","Canadian National Railway","CNI","77765763072","117.4","Canada"
"5","Enbridge","ENB","74869727232","36.89","Canada"
"6","Canadian Pacific Railway","CP","72212930560","77.56","Canada"
"7","Bank of Montreal","BMO","63609049088","89.21","Canada"
"8","Thomson Reuters","TRI","61405462528","130.38","Canada"
"9","Scotiabank","BNS","59387785216","49.35","Canada"
"10","Canadian Natural Resources","CNQ","58211827712","53.33","Canada"
"11","lululemon athletica","LULU","48825946112","383.49","Canada"
"12","Alimentation Couche-Tard","ATD.TO","48498484486","49.42","Canada"
"13","Constellation Software","CSU.TO","43229186480","2039.93","Canada"
"14","BCE","BCE","41167585280","45.13","Canada"
"15","TC Energy","TRP","40549998592","40.55","Canada"
"16","CIBC","CM","39659204608","43.16","Canada"
"17","Suncor Energy","SU","38097719296","29.09","Canada"
"18","Manulife Financial","MFC","34464079872","18.72","Canada"
"19","Restaurant Brands International","QSR","34022520832","76.12","Canada"
"20","Cenovus Energy","CVE","31298908160","16.4","Canada"
"21","Sun Life Financial","SLF","29559181312","50.37","Canada"
"22","Nutrien","NTR","29105541120","58.67","Canada"
"23","Imperial Oil","IMO","28608274432","48.97","Canada"
"24","Barrick Gold","GOLD","28174329856","16.05","Canada"
"25","Loblaw Companies","L.TO","28145168159","87.65","Canada"
"26","Telus","TU","27869220864","19.26","Canada"
"27","Great-West Lifeco","GWO.TO","26859632374","28.83","Canada"
"28","Franco-Nevada","FNV","26569046016","138.41","Canada"
"29","Intact Financial","IFC.TO","26168507936","149.32","Canada"
"30","National Bank of Canada","NA.TO","25100447959","74.29","Canada"
"31","CGI","GIB","24126459904","103.02","Canada"
"32","Agnico Eagle Mines","AEM","24091039744","48.73","Canada"
"33","Rogers Communication","RCI","23582830592","43.91","Canada"
"34","Teck Resources","TECK","21367736320","41.23","Canada"
"35","Fortis","FTS","20576714752","42.47","Canada"
"36","Wheaton Precious Metals","WPM","19467507712","42.99","Canada"
"37","Dollarama","DOL.TO","18772904503","65.78","Canada"
"38","Fairfax Financial","FFH.TO","18143681962","732.29","Canada"
"39","Power Corporation of Canada","POW.TO","17750181694","26.6","Canada"
"40","First Quantum Minerals","FM.TO","17138359325","24.75","Canada"
"41","Pembina Pipeline","PBA","17006901248","30.87","Canada"
"42","Hydro One","H.TO","16702214219","27.9","Canada"
"43","WSP Global","WSP.TO","16204987161","130.03","Canada"
"44","George Weston","WN.TO","16160562937","116.2","Canada"
"45","Magna International","MGA","15909798912","55.61","Canada"
"46","Tourmaline Oil","TOU.TO","15405465817","45.42","Canada"
"47","Shaw Communications","SJR","14940457984","30.18","Canada"
"48","Cameco","CCJ","13954322432","31.95","Canada"
"49","GFL Environmental","GFL","13751023616","37.25","Canada"
"50","Brookfield Asset Management","BAM","13490519040","32.71","Canada"
"51","Power Financial","PWF-PS.TO","12883545163","14.02","Canada"
"52","Metro","MRU.TO","12611228433","54.18","Canada"
"53","Ivanhoe Mines","IVN.TO","11207390540","9.2","Canada"
"54","Emera","EMA.TO","11172734343","41.16","Canada"
"55","OpenText","OTEX","11100667904","41","Canada"
"56","Ritchie Bros. Auctioneers","RBA","10389299200","57.15","Canada"
"57","Saputo","SAP.TO","9728854819","23.08","Canada"
"58","TFI International","TFII","9075399680","104.59","Canada"
"59","CCL Industries","CCL-B.TO","8269766030","46.33","Canada"
"60","ARC Resources","ARX.TO","8016420386","13.12","Canada"
"61","Canadian Tire","CTC.TO","7693695700","218.03","Canada"
"62","Choice Properties REIT","CHP-UN.TO","7251256865","10.02","Canada"
"63","IGM Financial","IGM.TO","7235122258","30.39","Canada"
"64","Canadian Utilities","CU.TO","7185369173","26.53","Canada"
"65","iA Financial","IAG.TO","7158756643","69.12","Canada"
"66","Stantec","STN","7011760128","63.14","Canada"
"67","CAE","CAE","6915347456","21.75","Canada"
"68","West Fraser Timber","WFG","6867961344","81.43","Canada"
"69","Bausch + Lomb","BLCO","6823025152","19.48","Canada"
"70","Descartes Systems","DSGX","6654801408","78.22","Canada"
"71","Empire Company","EMP-A.TO","6642662348","26.22","Canada"
"72","Toromont","TIH.TO","6541193891","79.42","Canada"
"73","Air Canada","AC.TO","6399187031","17.85","Canada"
"74","FirstService","FSV","6375473152","143.08","Canada"
"75","Bombardier Recreational Products","DOOO","6310787072","80.8","Canada"
"76","Lundin Mining","LUN.TO","6267374834","8.11","Canada"
"77","Canadian Apartment Properties REIT","CAR-UN.TO","6185783044","36.6","Canada"
"78","TMX Group","X.TO","6105441707","21.91","Canada"
"79","Topicus","TOI.V","6067518135","74.09","Canada"
"80","Element Fleet Management","EFN.TO","6048806672","15.51","Canada"
"81","Algonquin Power & Utilities","AQN","5871183360","8.52","Canada"
"82","Quebecor","QBR-B.TO","5757238695","24.9","Canada"
"83","Kinross Gold","KGC","5696064000","4.64","Canada"
"84","Gildan","GIL","5535059456","30.96","Canada"
"85","Pan American Silver","PAAS","5313520640","14.58","Canada"
"86","Keyera","KEY.TO","5277473422","23.03","Canada"
"87","Northland Power","NPI.TO","5264496917","20.87","Canada"
